seqid	pos	state
chr1	10	0
chr1	77	0
chr1	84	0
chr1	165	0
chr1	170	0
chr1	176	0
chr1	181	0
chr1	242	0
chr1	251	0
chr1	279	0
chr1	310	0
chr1	327	0
chr1	394	0
chr1	417	0
chr1	449	0
chr1	484	0
chr1	493	0
chr1	515	0
chr1	554	0
chr1	616	0
chr1	698	0
chr1	759	0
chr1	795	0
chr1	826	0
chr1	953	0
chr1	1042	0
chr1	1130	0
chr1	1140	0
chr1	1177	0
chr1	1194	0
chr1	1335	0
chr1	1482	0
chr1	1558	0
chr1	1763	0
chr1	1845	0
chr1	1861	0
chr1	1901	0
chr1	1904	0
chr1	1925	0
chr1	2157	0
chr1	2176	0
chr1	2202	0
chr1	2249	0
chr1	2261	0
chr1	2330	0
chr1	2473	0
chr1	2534	0
chr1	2574	0
chr1	2750	0
chr1	2753	0
chr1	2878	0
chr1	2884	0
chr1	2904	0
chr1	2940	0
chr1	2996	0
chr1	3051	0
chr1	3086	0
chr1	3114	0
chr1	3122	0
chr1	3215	0
chr1	3241	0
chr1	3255	0
chr1	3322	0
chr1	3360	0
chr1	3398	0
chr1	3413	0
chr1	3505	1
chr1	3588	1
chr1	3606	1
chr1	3618	1
chr1	3624	1
chr1	3641	1
chr1	3669	1
chr1	3689	1
chr1	3699	1
chr1	3812	1
chr1	3914	1
chr1	3918	1
chr1	3954	1
chr1	4004	1
chr1	4019	1
chr1	4146	1
chr1	4151	1
chr1	4353	1
chr1	4383	1
chr1	4489	0
chr1	4520	0
chr1	4620	0
chr1	4678	0
chr1	4710	0
chr1	4777	0
chr1	4836	0
chr1	4934	0
chr1	4994	0
chr1	5023	0
chr1	5049	0
chr1	5102	0
chr1	5297	0
chr1	5320	0
chr1	5411	0
chr1	5418	0
chr1	5494	0
chr1	5597	0
chr1	5601	0
chr1	5682	0
chr1	5760	0
chr1	5843	0
chr1	5897	0
chr1	5941	0
chr1	5952	0
chr1	5994	0
chr1	6000	0
chr1	6082	0
chr1	6101	0
chr1	6240	0
chr1	6333	0
chr1	6425	0
chr1	6462	0
chr1	6509	0
chr1	6529	0
chr1	6610	0
chr1	6643	0
chr1	6673	0
chr1	6678	0
chr1	6683	0
chr1	6693	0
chr1	6774	0
chr1	6816	0
chr1	6850	0
chr1	6902	0
chr1	6930	0
chr1	6954	0
chr1	6993	0
chr1	6997	0
chr1	7046	0
chr1	7079	0
chr1	7089	0
chr1	7162	0
chr1	7218	0
chr1	7220	0
chr1	7266	0
chr1	7323	0
chr1	7362	0
chr1	7443	0
chr1	7488	0
chr1	7540	0
chr1	7629	0
chr1	7630	0
chr1	7702	0
chr1	7745	0
chr1	7780	0
chr1	7861	0
chr1	7863	0
chr1	7864	0
chr1	7950	0
chr1	7952	0
chr1	8051	0
chr1	8089	0
chr1	8122	0
chr1	8127	0
