seqid	pos	likeratio	avg_coverage	sim_state	hmm_state
chr1	10	0.01580349	2.22	0	0
chr1	77	0.24734476	2.08	0	0
chr1	84	0.7655471	2.02	0	0
chr1	165	0	1.84	0	0
chr1	170	0.00376029	2.4	0	0
chr1	176	0.36691566	1.78	0	0
chr1	181	1.95775246	2.14	0	0
chr1	242	0	2.14	0	0
chr1	251	0.05835747	1.16	0	0
chr1	279	0	1.94	0	0
chr1	310	0.50782475	1.62	0	0
chr1	327	0	1.46	0	0
chr1	394	0.36176628	2.16	0	0
chr1	417	0	2.16	0	0
chr1	449	0	2.5	0	0
chr1	484	0.31664977	2.56	0	0
chr1	493	0.02527944	2.26	0	0
chr1	515	0.88670424	1.64	0	0
chr1	554	0.31087364	2.28	0	0
chr1	616	0	2.78	0	0
chr1	698	0	1.74	0	0
chr1	759	0.48923839	1.82	0	0
chr1	795	0	2.4	0	0
chr1	826	0	2.78	0	0
chr1	953	1e-08	1.6	0	0
chr1	1042	0	2.18	0	0
chr1	1130	0	2.44	0	0
chr1	1140	0	2.08	0	0
chr1	1177	0	1.82	0	0
chr1	1194	0	2.32	0	0
chr1	1335	0.68217241	1.3	0	0
chr1	1482	0	2.18	0	0
chr1	1558	0	2.24	0	0
chr1	1763	0	1.84	0	0
chr1	1845	0	1.82	0	0
chr1	1861	0.0352402	2.44	0	0
chr1	1901	2.58273207	1.5	0	0
chr1	1904	0	2.38	0	0
chr1	1925	0.4218851	2.36	0	0
chr1	2157	1.89153094	1.66	0	0
chr1	2176	1.14350649	1.88	0	0
chr1	2202	0	1.88	0	0
chr1	2249	0.29061478	2.58	0	0
chr1	2261	0.02759074	1.28	0	0
chr1	2330	0	2.56	0	0
chr1	2473	0.07953146	1.92	0	0
chr1	2534	0.52461679	1.98	0	0
chr1	2574	0.07711754	1.56	0	0
chr1	2750	1.54392697	2.12	0	0
chr1	2753	1.40485005	2.26	0	0
chr1	2878	0	1.64	0	0
chr1	2884	0	1.92	0	0
chr1	2904	0	2.28	0	0
chr1	2940	0	1.44	0	0
chr1	2996	0	2.04	0	0
chr1	3051	0.02533363	2.18	0	0
chr1	3086	0.06744104	2.02	0	0
chr1	3114	0.25329773	1.4	0	0
chr1	3122	0.01060752	1.7	0	0
chr1	3215	0.33686502	1.8	0	0
chr1	3241	0	1.64	0	0
chr1	3255	0	1.88	0	0
chr1	3322	0.00328433	1.38	0	0
chr1	3360	0.81853478	2.32	0	0
chr1	3398	0	1.96	0	0
chr1	3413	0	1.68	0	0
chr1	3505	9.24851643	5.04	1	1
chr1	3588	13.38217554	3.24	1	1
chr1	3606	29.23093371	4.42	1	1
chr1	3618	22.82578475	3.72	1	1
chr1	3624	6.92017263	3.34	1	1
chr1	3641	4.17085706	4.78	1	1
